IndexName,date,nav
NIFTY SMALLCAP 250,25-Apr-23,11504.47
NIFTY SMALLCAP 250,26-Apr-23,11567.62
NIFTY SMALLCAP 250,27-Apr-23,11624.23
NIFTY SMALLCAP 250,28-Apr-23,11739.54
NIFTY SMALLCAP 250,02-May-23,11814.83
NIFTY SMALLCAP 250,03-May-23,11830.96
NIFTY SMALLCAP 250,04-May-23,11932.39
NIFTY SMALLCAP 250,05-May-23,11866.58
NIFTY SMALLCAP 250,08-May-23,11954.23
NIFTY SMALLCAP 250,09-May-23,11903.79
NIFTY SMALLCAP 250,10-May-23,11964.22
NIFTY SMALLCAP 250,11-May-23,12049.94
NIFTY SMALLCAP 250,12-May-23,12004.66
NIFTY SMALLCAP 250,15-May-23,12092.13
NIFTY SMALLCAP 250,16-May-23,12096.73
NIFTY SMALLCAP 250,17-May-23,12148.41
NIFTY SMALLCAP 250,18-May-23,12098.73
NIFTY SMALLCAP 250,19-May-23,12094.92
NIFTY SMALLCAP 250,22-May-23,12143.28
NIFTY SMALLCAP 250,23-May-23,12158.17
NIFTY SMALLCAP 250,24-May-23,12164.95
NIFTY SMALLCAP 250,25-May-23,12202.13
NIFTY SMALLCAP 250,26-May-23,12258.38
NIFTY SMALLCAP 250,29-May-23,12293.14
NIFTY SMALLCAP 250,30-May-23,12299.83
NIFTY SMALLCAP 250,31-May-23,12395.45
NIFTY SMALLCAP 250,01-Jun-23,12497.92
NIFTY SMALLCAP 250,02-Jun-23,12558.38
NIFTY SMALLCAP 250,05-Jun-23,12593.2
NIFTY SMALLCAP 250,06-Jun-23,12661.26
NIFTY SMALLCAP 250,07-Jun-23,12803.18
NIFTY SMALLCAP 250,08-Jun-23,12717.63
NIFTY SMALLCAP 250,09-Jun-23,12709.52
NIFTY SMALLCAP 250,12-Jun-23,12793.22
NIFTY SMALLCAP 250,13-Jun-23,12887.1
NIFTY SMALLCAP 250,14-Jun-23,12924
NIFTY SMALLCAP 250,15-Jun-23,12964.37
NIFTY SMALLCAP 250,16-Jun-23,13068.86
NIFTY SMALLCAP 250,19-Jun-23,13109.5
NIFTY SMALLCAP 250,20-Jun-23,13163.28
NIFTY SMALLCAP 250,21-Jun-23,13171.96
NIFTY SMALLCAP 250,22-Jun-23,13075.39
NIFTY SMALLCAP 250,23-Jun-23,12938.93
NIFTY SMALLCAP 250,26-Jun-23,13027.19
NIFTY SMALLCAP 250,27-Jun-23,13099.76
NIFTY SMALLCAP 250,28-Jun-23,13124.15
NIFTY SMALLCAP 250,30-Jun-23,13188.32
NIFTY SMALLCAP 250,03-Jul-23,13306.16
NIFTY SMALLCAP 250,04-Jul-23,13324.41
NIFTY SMALLCAP 250,05-Jul-23,13407.62
NIFTY SMALLCAP 250,06-Jul-23,13521.61
NIFTY SMALLCAP 250,07-Jul-23,13482.68
NIFTY SMALLCAP 250,10-Jul-23,13438.88
NIFTY SMALLCAP 250,11-Jul-23,13565.98
NIFTY SMALLCAP 250,12-Jul-23,13632.94
NIFTY SMALLCAP 250,13-Jul-23,13536.45
NIFTY SMALLCAP 250,14-Jul-23,13715.34
NIFTY SMALLCAP 250,17-Jul-23,13823.43
NIFTY SMALLCAP 250,18-Jul-23,13724.15
NIFTY SMALLCAP 250,19-Jul-23,13825.02
NIFTY SMALLCAP 250,20-Jul-23,13862.52
NIFTY SMALLCAP 250,21-Jul-23,13905.94
NIFTY SMALLCAP 250,24-Jul-23,13940.07
NIFTY SMALLCAP 250,25-Jul-23,13947.13
NIFTY SMALLCAP 250,26-Jul-23,13993.43
NIFTY SMALLCAP 250,27-Jul-23,14012.67
NIFTY SMALLCAP 250,28-Jul-23,14073.98
NIFTY SMALLCAP 250,31-Jul-23,14219.45
NIFTY SMALLCAP 250,01-Aug-23,14249.01
NIFTY SMALLCAP 250,02-Aug-23,14067.17
NIFTY SMALLCAP 250,03-Aug-23,14087.5
NIFTY SMALLCAP 250,04-Aug-23,14176.88
NIFTY SMALLCAP 250,07-Aug-23,14221.48
NIFTY SMALLCAP 250,08-Aug-23,14245.13
NIFTY SMALLCAP 250,09-Aug-23,14325.78
NIFTY SMALLCAP 250,10-Aug-23,14290.2
NIFTY SMALLCAP 250,11-Aug-23,14253.66
NIFTY SMALLCAP 250,14-Aug-23,14165.59
NIFTY SMALLCAP 250,16-Aug-23,14224.93
NIFTY SMALLCAP 250,17-Aug-23,14251.63
NIFTY SMALLCAP 250,18-Aug-23,14211.95
NIFTY SMALLCAP 250,21-Aug-23,14331.64
NIFTY SMALLCAP 250,22-Aug-23,14429.06
NIFTY SMALLCAP 250,23-Aug-23,14532.26
NIFTY SMALLCAP 250,24-Aug-23,14513.98
NIFTY SMALLCAP 250,25-Aug-23,14483.33
NIFTY SMALLCAP 250,28-Aug-23,14581.66
NIFTY SMALLCAP 250,29-Aug-23,14680.22
NIFTY SMALLCAP 250,30-Aug-23,14809.36
NIFTY SMALLCAP 250,31-Aug-23,14964.03
NIFTY SMALLCAP 250,01-Sep-23,15074.43
NIFTY SMALLCAP 250,04-Sep-23,15228.35
NIFTY SMALLCAP 250,05-Sep-23,15324.18
NIFTY SMALLCAP 250,06-Sep-23,15333.09
NIFTY SMALLCAP 250,07-Sep-23,15419.25
NIFTY SMALLCAP 250,08-Sep-23,15513.95
NIFTY SMALLCAP 250,11-Sep-23,15665.54
NIFTY SMALLCAP 250,12-Sep-23,15057.64
NIFTY SMALLCAP 250,13-Sep-23,15206.04
NIFTY SMALLCAP 250,14-Sep-23,15392.76
NIFTY SMALLCAP 250,15-Sep-23,15436.47
NIFTY SMALLCAP 250,18-Sep-23,15362.25
NIFTY SMALLCAP 250,20-Sep-23,15275.83
NIFTY SMALLCAP 250,21-Sep-23,15107.17
NIFTY SMALLCAP 250,22-Sep-23,15110.9
NIFTY SMALLCAP 250,25-Sep-23,15124.08
NIFTY SMALLCAP 250,26-Sep-23,15189.11
NIFTY SMALLCAP 250,27-Sep-23,15299.19
NIFTY SMALLCAP 250,28-Sep-23,15251.22
NIFTY SMALLCAP 250,29-Sep-23,15351.8
NIFTY SMALLCAP 250,03-Oct-23,15449.15
NIFTY SMALLCAP 250,04-Oct-23,15274.35
NIFTY SMALLCAP 250,05-Oct-23,15362.03
NIFTY SMALLCAP 250,06-Oct-23,15460.21
NIFTY SMALLCAP 250,09-Oct-23,15208.76
NIFTY SMALLCAP 250,10-Oct-23,15379.25
NIFTY SMALLCAP 250,11-Oct-23,15485.41
NIFTY SMALLCAP 250,12-Oct-23,15596.35
NIFTY SMALLCAP 250,13-Oct-23,15574.08
NIFTY SMALLCAP 250,16-Oct-23,15623.4
NIFTY SMALLCAP 250,17-Oct-23,15728.4
NIFTY SMALLCAP 250,18-Oct-23,15668.06
NIFTY SMALLCAP 250,19-Oct-23,15690.97
NIFTY SMALLCAP 250,20-Oct-23,15565.84
NIFTY SMALLCAP 250,23-Oct-23,14976.01
NIFTY SMALLCAP 250,25-Oct-23,14879.7
NIFTY SMALLCAP 250,26-Oct-23,14808.77
NIFTY SMALLCAP 250,27-Oct-23,15094.61
NIFTY SMALLCAP 250,30-Oct-23,15106.05
NIFTY SMALLCAP 250,31-Oct-23,15093.39
NIFTY SMALLCAP 250,01-Nov-23,15065.5
NIFTY SMALLCAP 250,02-Nov-23,15228.45
NIFTY SMALLCAP 250,03-Nov-23,15383.34
NIFTY SMALLCAP 250,06-Nov-23,15547.68
NIFTY SMALLCAP 250,07-Nov-23,15638.69
NIFTY SMALLCAP 250,08-Nov-23,15734.02
NIFTY SMALLCAP 250,09-Nov-23,15689.56
NIFTY SMALLCAP 250,10-Nov-23,15756.89
NIFTY SMALLCAP 250,12-Nov-23,15955.89
NIFTY SMALLCAP 250,13-Nov-23,15995.09
NIFTY SMALLCAP 250,15-Nov-23,16173.38
NIFTY SMALLCAP 250,16-Nov-23,16243.52
NIFTY SMALLCAP 250,17-Nov-23,16298.52
NIFTY SMALLCAP 250,20-Nov-23,16305.16
NIFTY SMALLCAP 250,21-Nov-23,16337.97
NIFTY SMALLCAP 250,22-Nov-23,16201
NIFTY SMALLCAP 250,23-Nov-23,16284.69
NIFTY SMALLCAP 250,24-Nov-23,16313.73
NIFTY SMALLCAP 250,28-Nov-23,16350.12
NIFTY SMALLCAP 250,29-Nov-23,16473.48
NIFTY SMALLCAP 250,30-Nov-23,16649.27
NIFTY SMALLCAP 250,01-Dec-23,16742.96
NIFTY SMALLCAP 250,04-Dec-23,16947.04
NIFTY SMALLCAP 250,05-Dec-23,16972.19
NIFTY SMALLCAP 250,06-Dec-23,17017.89
NIFTY SMALLCAP 250,07-Dec-23,17069.09
NIFTY SMALLCAP 250,08-Dec-23,16924.15
NIFTY SMALLCAP 250,11-Dec-23,17019.05
NIFTY SMALLCAP 250,12-Dec-23,16997.98
NIFTY SMALLCAP 250,13-Dec-23,17107.46
NIFTY SMALLCAP 250,14-Dec-23,17240.69
NIFTY SMALLCAP 250,15-Dec-23,17363.41
NIFTY SMALLCAP 250,18-Dec-23,17435.56
NIFTY SMALLCAP 250,19-Dec-23,17449.55
NIFTY SMALLCAP 250,20-Dec-23,16867
NIFTY SMALLCAP 250,21-Dec-23,17152.5
NIFTY SMALLCAP 250,22-Dec-23,17327.72
NIFTY SMALLCAP 250,26-Dec-23,17379.28
NIFTY SMALLCAP 250,27-Dec-23,17431.25
NIFTY SMALLCAP 250,28-Dec-23,17534.45
NIFTY SMALLCAP 250,29-Dec-23,17641.14
NIFTY SMALLCAP 250,01-Jan-24,17752.2
NIFTY SMALLCAP 250,02-Jan-24,17745.36
NIFTY SMALLCAP 250,03-Jan-24,17766.45
NIFTY SMALLCAP 250,04-Jan-24,17948.96
NIFTY SMALLCAP 250,05-Jan-24,18069.74
NIFTY SMALLCAP 250,08-Jan-24,17963.9
NIFTY SMALLCAP 250,09-Jan-24,18030.16
NIFTY SMALLCAP 250,10-Jan-24,18066.52
NIFTY SMALLCAP 250,11-Jan-24,18215.63
NIFTY SMALLCAP 250,12-Jan-24,18283.72
NIFTY SMALLCAP 250,15-Jan-24,18329.3
NIFTY SMALLCAP 250,16-Jan-24,18279.1
NIFTY SMALLCAP 250,17-Jan-24,18087.55
NIFTY SMALLCAP 250,18-Jan-24,18085.45
NIFTY SMALLCAP 250,19-Jan-24,18278.45
NIFTY SMALLCAP 250,20-Jan-24,18360.96
NIFTY SMALLCAP 250,23-Jan-24,17863.18
NIFTY SMALLCAP 250,24-Jan-24,18177.24
NIFTY SMALLCAP 250,25-Jan-24,18274.36
NIFTY SMALLCAP 250,29-Jan-24,18510.5
NIFTY SMALLCAP 250,30-Jan-24,18535.27
NIFTY SMALLCAP 250,31-Jan-24,18929.24
NIFTY SMALLCAP 250,01-Feb-24,18955.35
NIFTY SMALLCAP 250,02-Feb-24,19072.06
NIFTY SMALLCAP 250,05-Feb-24,19064.01
NIFTY SMALLCAP 250,06-Feb-24,19242.83
NIFTY SMALLCAP 250,07-Feb-24,19343.94
NIFTY SMALLCAP 250,08-Feb-24,19260.33
NIFTY SMALLCAP 250,09-Feb-24,19017.2
NIFTY SMALLCAP 250,12-Feb-24,18341.41
NIFTY SMALLCAP 250,13-Feb-24,18406.88
NIFTY SMALLCAP 250,14-Feb-24,18643.65
NIFTY SMALLCAP 250,15-Feb-24,18861.1
NIFTY SMALLCAP 250,16-Feb-24,18987.72
NIFTY SMALLCAP 250,19-Feb-24,19078.38
NIFTY SMALLCAP 250,20-Feb-24,19002.59
NIFTY SMALLCAP 250,21-Feb-24,18854.99
NIFTY SMALLCAP 250,22-Feb-24,18969.98
NIFTY SMALLCAP 250,23-Feb-24,19080.69
NIFTY SMALLCAP 250,26-Feb-24,19048.11
NIFTY SMALLCAP 250,27-Feb-24,19096.61
NIFTY SMALLCAP 250,28-Feb-24,18735.97
NIFTY SMALLCAP 250,29-Feb-24,18823.79
NIFTY SMALLCAP 250,01-Mar-24,18944.92
NIFTY SMALLCAP 250,02-Mar-24,19079.26
NIFTY SMALLCAP 250,04-Mar-24,18964.71
NIFTY SMALLCAP 250,05-Mar-24,18842.06
NIFTY SMALLCAP 250,06-Mar-24,18470.74
NIFTY SMALLCAP 250,07-Mar-24,18620.98
NIFTY SMALLCAP 250,11-Mar-24,18248.59
NIFTY SMALLCAP 250,12-Mar-24,17873.11
NIFTY SMALLCAP 250,13-Mar-24,16947.96
NIFTY SMALLCAP 250,14-Mar-24,17475.66
NIFTY SMALLCAP 250,15-Mar-24,17512.97
NIFTY SMALLCAP 250,18-Mar-24,17462.5
NIFTY SMALLCAP 250,19-Mar-24,17256.64
NIFTY SMALLCAP 250,20-Mar-24,17275.7
NIFTY SMALLCAP 250,21-Mar-24,17670.42
NIFTY SMALLCAP 250,22-Mar-24,17813.92
NIFTY SMALLCAP 250,26-Mar-24,17822.06
NIFTY SMALLCAP 250,27-Mar-24,17967.65
NIFTY SMALLCAP 250,28-Mar-24,18027.57
NIFTY SMALLCAP 250,01-Apr-24,18570.61
NIFTY SMALLCAP 250,02-Apr-24,18754.41
NIFTY SMALLCAP 250,03-Apr-24,18952
NIFTY SMALLCAP 250,04-Apr-24,19070.15
NIFTY SMALLCAP 250,05-Apr-24,19182.05
NIFTY SMALLCAP 250,08-Apr-24,19230.24
NIFTY SMALLCAP 250,09-Apr-24,19238.91
NIFTY SMALLCAP 250,10-Apr-24,19353.49
NIFTY SMALLCAP 250,12-Apr-24,19275.06
NIFTY SMALLCAP 250,15-Apr-24,18978.8
NIFTY SMALLCAP 250,16-Apr-24,19100.86
