"Date","Price","Open","High","Low","Vol.","Change %"
"04-06-2025","36,185.79","36,185.79","36,185.79","36,185.79","","0.45%"
"03-06-2025","36,024.39","36,024.39","36,024.39","36,024.39","","-0.52%"
"02-06-2025","36,211.90","36,211.90","36,211.90","36,211.90","","0.14%"
"30-05-2025","36,160.26","36,160.26","36,160.26","36,160.26","","-0.21%"
"29-05-2025","36,236.36","36,236.36","36,236.36","36,236.36","","0.36%"
"28-05-2025","36,105.43","36,105.43","36,105.43","36,105.43","","-0.12%"
"27-05-2025","36,149.56","36,149.56","36,149.56","36,149.56","","-0.40%"
"26-05-2025","36,294.53","36,294.53","36,294.53","36,294.53","","0.56%"
"23-05-2025","36,092.88","36,092.88","36,092.88","36,092.88","","0.83%"
"22-05-2025","35,797.03","35,797.03","35,797.03","35,797.03","","-0.59%"
"21-05-2025","36,010.70","36,010.70","36,010.70","36,010.70","","0.64%"
"20-05-2025","35,780.62","35,780.62","35,780.62","35,780.62","","-1.23%"
"19-05-2025","36,224.52","36,224.52","36,224.52","36,224.52","","-0.02%"
"16-05-2025","36,232.61","36,232.61","36,232.61","36,232.61","","0.39%"
"15-05-2025","36,090.63","36,090.63","36,090.63","36,090.63","","1.29%"
"14-05-2025","35,632.27","35,632.27","35,632.27","35,632.27","","0.67%"
"13-05-2025","35,393.94","35,393.94","35,393.94","35,393.94","","-0.72%"
"12-05-2025","35,650.00","35,650.00","35,650.00","35,650.00","","3.86%"
"09-05-2025","34,326.37","34,326.37","34,326.37","34,326.37","","-0.76%"
"08-05-2025","34,590.60","34,590.60","34,590.60","34,590.60","","-1.04%"
"07-05-2025","34,953.84","34,953.84","34,953.84","34,953.84","","0.53%"
"06-05-2025","34,770.10","34,770.10","34,770.10","34,770.10","","-1.07%"
"05-05-2025","35,147.86","35,147.86","35,147.86","35,147.86","","0.86%"
"02-05-2025","34,848.28","34,848.28","34,848.28","34,848.28","","-0.11%"
"30-04-2025","34,886.08","34,886.08","34,886.08","34,886.08","","-0.37%"
"29-04-2025","35,016.37","35,016.37","35,016.37","35,016.37","","0.05%"
"28-04-2025","34,999.51","34,999.51","34,999.51","34,999.51","","1.17%"
"25-04-2025","34,594.15","34,594.15","34,594.15","34,594.15","","-1.50%"
"24-04-2025","35,120.10","35,120.10","35,120.10","35,120.10","","-0.26%"
"23-04-2025","35,210.27","35,210.27","35,210.27","35,210.27","","0.69%"
"22-04-2025","34,968.69","34,968.69","34,968.69","34,968.69","","0.36%"
"21-04-2025","34,842.91","34,842.91","34,842.91","34,842.91","","1.50%"
"17-04-2025","34,329.58","34,329.58","34,329.58","34,329.58","","1.29%"
"16-04-2025","33,890.74","33,890.74","33,890.74","33,890.74","","0.59%"
"15-04-2025","33,692.80","33,692.80","33,692.80","33,692.80","","2.54%"
"11-04-2025","32,859.13","32,859.13","32,859.13","32,859.13","","1.95%"
"09-04-2025","32,231.86","32,231.86","32,231.86","32,231.86","","-0.61%"
"08-04-2025","32,428.26","32,428.26","32,428.26","32,428.26","","1.87%"
"07-04-2025","31,834.33","31,834.33","31,834.33","31,834.33","","-3.36%"
"04-04-2025","32,942.09","32,942.09","32,942.09","32,942.09","","-2.06%"
"03-04-2025","33,635.56","33,635.56","33,635.56","33,635.56","","-0.10%"
"02-04-2025","33,670.61","33,670.61","33,670.61","33,670.61","","0.93%"
"01-04-2025","33,361.96","33,361.96","33,361.96","33,361.96","","-1.26%"
"28-03-2025","33,787.56","33,787.56","33,787.56","33,787.56","","-0.32%"
"27-03-2025","33,895.46","33,895.46","33,895.46","33,895.46","","0.62%"
"26-03-2025","33,685.64","33,685.64","33,685.64","33,685.64","","-0.75%"
"25-03-2025","33,941.26","33,941.26","33,941.26","33,941.26","","-0.47%"
"24-03-2025","34,100.12","34,100.12","34,100.12","34,100.12","","1.24%"
"21-03-2025","33,681.84","33,681.84","33,681.84","33,681.84","","0.97%"
